image,text,clean_text,dataset,is_total_line,price,date
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469620.jpg,MR D.I.Y. (JOHOR) SDN BHD,mr d.i.y. johor sdn bhd,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469620.jpg,(C0.REG :933109-X),c0.reg :933109x,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469620.jpg,"LOT 1851-A & 1851-B, JALAN KPB 6,",lot 1851a  1851b jalan kpb 6,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469620.jpg,"KAWASAN PERINDUSTRIAN BALAKONG,",kawasan perindustrian balakong,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469620.jpg,"43300 SERI KEMBANGAN, SELANGOR",43300 seri kembangan selangor,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469620.jpg,(MR DIY TESCO TERBAU),mr diy tesco terbau,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469620.jpg,-INVOICE-,invoice,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469620.jpg,CHOPPING B0ARD 35.5x25.5CM 803M#,chopping b0ard 35.5x25.5cm 803m,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469620.jpg,EZ10HD05 - 24,ez10hd05  24,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469620.jpg,8970669,8970669,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469620.jpg,1 X 19.00 19.00,1 x 19.00 19.00,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469620.jpg,AIR PRESSURE SPRAYER SX-575-1 1.5L,air pressure sprayer sx5751 1.5l,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469620.jpg,HC03-7- 15,hc037 15,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469620.jpg,9066468,9066468,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469620.jpg,1 X 8.02,1 x 8.02,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469620.jpg,8.02,8.02,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469620.jpg,WAXCO WINDSHILED CLEANER 120ML,waxco windshiled cleaner 120ml,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469620.jpg,WA14-3A -48,wa143a 48,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469620.jpg,9557031100236,9557031100236,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469620.jpg,1 X,1 x,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469620.jpg,3.02,3.02,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469620.jpg,3.02,3.02,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469620.jpg,BOPP TAPE 48MM*100M CLEAR,bopp tape 48mm100m clear,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469620.jpg,FZ-04 - 36,fz04  36,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469620.jpg,6935818350846,6935818350846,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469620.jpg,1 X,1 x,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469620.jpg,3.88,3.88,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469620.jpg,3.88,3.88,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469620.jpg,Item(s) : 4,items : 4,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469620.jpg,Qty(s) : 4,qtys : 4,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469620.jpg,TOTAL,total,sroie,True,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469620.jpg,RM 33.92,rm 33.92,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469620.jpg,ROUNDING ADJUSTMENT,rounding adjustment,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469620.jpg,-RM 0.02,rm 0.02,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469620.jpg,TOTAL ROUNDED,total rounded,sroie,True,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469620.jpg,33-90,3390,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469620.jpg,RM 33.90,rm 33.90,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469620.jpg,CASH,cash,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469620.jpg,RM 50.00,rm 50.00,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469620.jpg,CHANGE,change,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469620.jpg,RM 16.10,rm 16.10,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469620.jpg,12-01-19 21:13 SH01 ZK09,120119 21:13 sh01 zk09,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469620.jpg,T4 R000027830,t4 r000027830,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469620.jpg,OPERATOR TRAINEE CASHIER,operator trainee cashier,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469620.jpg,EXCHANGE ARE ALLOWED WITHIN,exchange are allowed within,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469620.jpg,7 DAYS WITH RECEIPT.,7 days with receipt.,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469620.jpg,STRICTLY NO CASH REFUND.,strictly no cash refund.,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469622.jpg,tan woon yann,tan woon yann,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469622.jpg,YONGFATT ENTERPRISE,yongfatt enterprise,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469622.jpg,(JM0517726),jm0517726,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469622.jpg,"NO.122,124. JALAN DEDAP 13",no.122124. jalan dedap 13,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469622.jpg,81100 JOHOR BAHRU,81100 johor bahru,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469622.jpg,TEL 07-3523888,tel 073523888,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469622.jpg,GST ID :000849813504,gst id :000849813504,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469622.jpg,SIMPLIFIED TAX INVOICE,simplified tax invoice,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469622.jpg,CASH,cash,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469622.jpg,Doc No,doc no,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469622.jpg,CS00031663,cs00031663,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469622.jpg,Date 25/12/2018,date 25/12/2018,sroie,False,,25/12/2018
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469622.jpg,Cashler,cashler,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469622.jpg,USER,user,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469622.jpg,Time 123100,time 123100,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469622.jpg,Salusperson :,salusperson :,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469622.jpg,Ref.,ref.,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469622.jpg,tum,tum,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469622.jpg,Qty,qty,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469622.jpg,S/Price,s/price,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469622.jpg,Amount,amount,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469622.jpg,Tax,tax,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469622.jpg,E8318,e8318,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469622.jpg,1,1,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469622.jpg,80.91,80.91,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469622.jpg,80.91,80.91,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469622.jpg,SR,sr,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469622.jpg,ELEGANT SCH TR BAG 15,elegant sch tr bag 15,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469622.jpg,Total Qty,total qty,sroie,True,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469622.jpg,1,1,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469622.jpg,80.91,80.91,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469622.jpg,Total Sales (Excluding GST).,total sales excluding gst.,sroie,True,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469622.jpg,80.91,80.91,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469622.jpg,Discount:,discount:,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469622.jpg,0.00,0.00,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469622.jpg,Total GST:,total gst:,sroie,True,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469622.jpg,0.00,0.00,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469622.jpg,Rounding,rounding,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469622.jpg,-0.01,0.01,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469622.jpg,Total Sales (inclusiv of GST) :,total sales inclusiv of gst :,sroie,True,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469622.jpg,80.90,80.90,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469622.jpg,CASH :,cash :,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469622.jpg,100.00,100.00,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469622.jpg,Change :,change :,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469622.jpg,19.10,19.10,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469622.jpg,GST SUMMARY,gst summary,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469622.jpg,Tax Code,tax code,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469622.jpg,%,,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469622.jpg,Amt(RM),amtrm,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469622.jpg,Tax(RM),taxrm,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469622.jpg,SR,sr,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469622.jpg,0,0,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469622.jpg,80.91,80.91,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469622.jpg,0.00,0.00,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469622.jpg,Total:,total:,sroie,True,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469622.jpg,80.91,80.91,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469622.jpg,0.00,0.00,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469623.jpg,tan woon yann,tan woon yann,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469623.jpg,MR D.I.Y. (M) SDN BHD,mr d.i.y. m sdn bhd,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469623.jpg,(CO.REG : 860671-D),co.reg : 860671d,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469623.jpg,"1OT 1851-A & 1851-B. JALAN KPB 6,",1ot 1851a  1851b. jalan kpb 6,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469623.jpg,"KAWASAN PERINDUSTRIAN BALAKONG,",kawasan perindustrian balakong,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469623.jpg,"43300 SERI KEMBANGAN, SELANGOR",43300 seri kembangan selangor,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469623.jpg,(TESCO PUTRA NILAI),tesco putra nilai,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469623.jpg,-INVOICE-,invoice,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469623.jpg,Kilat'auto fco wash & shine es1ooo il,kilatauto fco wash  shine es1ooo il,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469623.jpg,WA45-/2A - 12,wa45/2a  12,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469623.jpg,9555916500133,9555916500133,sroie,False,,
E:\Projects_AI_ML\docfusion\data\raw\SROIE2019\train\img\X00016469623.jpg,1 X 3.11,1 x 3.11,sroie,False,,
